Rank,Release Group,Worldwide,Domestic,%,Foreign,%
580,Eating Animals,"$153,993","$149,614",97.2%,"$4,379",2.8%
581,The Tag Along: Devil Fish,"$153,895","$20,726",13.5%,"$133,169",86.5%
582,"Buttons, A New Musical Film","$151,983","$151,983",100%,-,-
583,Night of the Living Dead 2018 Re-release,"$147,423","$147,423",100%,-,-
584,Hannah,"$146,325","$11,700",8%,"$134,625",92%
585,Mr. Smith Goes to Washington 2018 Re-release,"$144,738","$144,738",100%,-,-
586,The Price of Everything,"$144,446","$87,400",60.5%,"$57,046",39.5%
587,Disguising,"$143,108",-,-,"$143,108",100%
588,Best F(r)iends Volume Two,"$141,524","$141,524",100%,-,-
589,Support the Girls,"$139,550","$129,124",92.5%,"$10,426",7.5%
590,Head Full of Honey,"$138,844","$12,350",8.9%,"$126,494",91.1%
591,The Brawler,"$138,515","$75,929",54.8%,"$62,586",45.2%
592,Mantra: Sounds Into Silence,"$135,684","$115,013",84.8%,"$20,671",15.2%
593,Another Day of Life,"$134,801","$3,190",2.4%,"$131,611",97.6%
594,Rudy 2018 Re-release,"$131,200","$131,200",100%,-,-
595,The Image Book,"$130,802","$94,153",72%,"$36,649",28%
596,Five Seasons: The Gardens of Piet Oudolf,"$130,319","$119,223",91.5%,"$11,096",8.5%
597,Harry Potter and the Half-Blood Prince 2018 Re-release,"$130,081","$130,081",100%,-,-
598,Great Performances at the Met: Puccini: Madama Butterfly,"$129,730","$129,730",100%,-,-
599,Great Performances at the Met: Tchaikovsky: Eugene Onegin 2018 Re-release,"$129,498","$129,498",100%,-,-
600,Great Performances at the Met: Verdi: Il Trovatore,"$129,393","$129,393",100%,-,-
601,Love After Love,"$128,602","$121,098",94.2%,"$7,504",5.8%
602,Where Hands Touch,"$128,269","$67,743",52.8%,"$60,526",47.2%
603,Sleepless in Seattle 2018 Re-release,"$127,281","$127,281",100%,-,-
604,The Great Buster,"$125,807","$118,344",94.1%,"$7,463",5.9%
605,Hymn: Sarah Brightman in Concert,"$124,707","$113,274",90.8%,"$11,433",9.2%
606,'85: The Greatest Team in Football History,"$124,573","$124,573",100%,-,-
607,Wings of Desire 2018 Re-release,"$123,830","$123,830",100%,-,-
608,Blood Fest,"$122,833","$82,774",67.4%,"$40,059",32.6%
609,Yu-Gi-Oh!: The Movie - Pyramid of Light 2018 Re-release,"$121,688","$121,688",100%,-,-
610,Styx,"$118,188","$70,794",59.9%,"$47,394",40.1%
611,Bisbee '17,"$117,470","$117,470",100%,-,-
612,George Takei's Allegiance 2018 Re-release,"$117,162","$117,162",100%,-,-
613,Nostalgia,"$114,603","$114,603",100%,-,-
614,John McEnroe: In the Realm of Perfection,"$114,289","$90,964",79.6%,"$23,325",20.4%
615,Bodied,"$113,956","$113,956",100%,-,-
616,Filmworker,"$112,828","$102,609",90.9%,"$10,219",9.1%
617,A Boy. A Girl. A Dream.,"$112,552","$112,552",100%,-,-
618,"Hale County This Morning, This Evening","$112,282","$112,282",100%,-,-
619,The Dawn Wall,"$112,191","$112,191",100%,-,-
620,A Chance in the World,"$112,007","$112,007",100%,-,-
621,A Paris Education,"$111,197","$21,598",19.4%,"$89,599",80.6%
622,Red Sorghum,"$108,371",-,-,"$108,371",100%
623,"No Date, No Signature","$107,368","$36,444",33.9%,"$70,924",66.1%
624,National Theatre Live: Julius Caesar,"$107,057","$107,057",100%,-,-
625,The Charmer,"$106,379","$26,167",24.6%,"$80,212",75.4%
626,Never Heard,"$105,271","$105,271",100%,-,-
627,Andrei Rublev 2018 Re-release,"$102,021","$102,021",100%,-,-
628,Kickboxer: Retaliation,"$101,690","$4,537",4.5%,"$97,153",95.5%
629,All About Nina,"$100,335","$100,335",100%,-,-
630,Meow Wolf: Origin Story,"$99,488","$99,488",100%,-,-
631,Reign of Judges: Title of Liberty - Concept Short,"$98,408","$93,224",94.7%,"$5,184",5.3%
632,National Theatre Live: Macbeth,"$97,857","$97,857",100%,-,-
633,Godspeed: The Race Across America,"$96,690","$96,690",100%,-,-
634,The Night Eats the World,"$95,208",-,-,"$95,208",100%
635,Let the Corpses Tan,"$93,409","$93,409",100%,-,-
636,Nancy,"$92,000","$80,115",87.1%,"$11,885",12.9%
637,BANDSTAND: The Broadway Musical on Screen 2018 Re-release,"$91,000","$91,000",100%,-,-
638,Yuri!!! On Ice,"$90,751","$81,878",90.2%,"$8,873",9.8%
639,Minding the Gap,"$90,328","$11,998",13.3%,"$78,330",86.7%
640,Running for Grace,"$89,988","$89,988",100%,-,-
641,Cat on a Hot Tin Roof,"$89,332","$89,332",100%,-,-
642,Goldstone 2018 Re-release,"$87,639","$87,639",100%,-,-
643,Beuys,"$86,451","$65,410",75.7%,"$21,041",24.3%
644,"Nico, 1988","$83,558","$73,304",87.7%,"$10,254",12.3%
645,Doctor Who: The Woman Who Fell to Earth,"$82,698","$82,698",100%,-,-
646,Yomeddine,"$81,030","$11,308",14%,"$69,722",86%
647,Woman Walks Ahead,"$80,912","$57,528",71.1%,"$23,384",28.9%
648,En el séptimo día,"$79,887","$79,887",100%,-,-
649,The Boxcar Children - Surprise Island,"$78,676","$78,676",100%,-,-
650,Un traductor,"$78,075","$13,509",17.3%,"$64,566",82.7%
651,Parchi,"$77,110","$69,431",90%,"$7,679",10%
652,93Queen,"$76,056","$76,056",100%,-,-
653,Touch Me Not,"$75,507","$13,782",18.3%,"$61,725",81.7%
654,The Riot Act,"$75,506","$75,506",100%,-,-
655,Where Is Kyra?,"$74,821","$59,717",79.8%,"$15,104",20.2%
656,Above and Beyond: NASA's Journey to Tomorrow,"$74,711","$74,711",100%,-,-
657,The Boy Downstairs,"$73,988","$13,638",18.4%,"$60,350",81.6%
658,After Auschwitz,"$73,885","$73,885",100%,-,-
659,Primal Rage: The Legend of Konga,"$73,383","$21,497",29.3%,"$51,886",70.7%
660,Antonio Lopez 1970: Sex Fashion & Disco,"$73,122","$43,169",59%,"$29,953",41%
661,The Fog 2018 Re-release,"$70,421","$70,421",100%,-,-
662,Wastelander,"$70,045","$70,045",100%,-,-
663,Chef Flynn,"$69,542","$68,407",98.4%,"$1,135",1.6%
664,Outside In,"$68,492","$68,492",100%,-,-
665,The Eyes of Orson Welles,"$68,328","$10,253",15%,"$58,075",85%
666,10x10,"$68,260","$2,263",3.3%,"$65,997",96.7%
667,Making the Five Heartbeats,"$67,415","$67,415",100%,-,-
668,The Doctor from India,"$67,136","$67,136",100%,-,-
669,"3100, Run and Become","$66,789","$65,524",98.1%,"$1,265",1.9%
670,Searching for Ingmar Bergman,"$64,742","$36,686",56.7%,"$28,056",43.3%
671,"Monrovia, Indiana","$64,596","$63,944",99%,$652,1%
672,The Gardener,"$62,734","$62,734",100%,-,-
673,The Swan,"$62,716","$2,367",3.8%,"$60,349",96.2%
674,River Runs Red,"$61,789","$9,893",16%,"$51,896",84%
675,Here and Now,"$61,271","$13,892",22.7%,"$47,379",77.3%
676,Never Goin' Back,"$61,271","$61,271",100%,-,-
677,A Kid Like Jake,"$60,784","$58,403",96.1%,"$2,381",3.9%
678,Viper Club,"$60,607","$60,607",100%,-,-
679,Bomb City,"$59,329","$59,329",100%,-,-
680,Digimon Adventure tri. Part 4: Loss,"$59,114","$59,114",100%,-,-
681,Horn from the Heart: The Paul Butterfield Story,"$58,597","$58,597",100%,-,-
682,Cynthia,"$58,177","$58,177",100%,-,-
683,In Search of Greatness,"$58,090","$58,090",100%,-,-
684,Ramen Heads,"$57,345","$57,345",100%,-,-
685,Mamma Mia! 2018 Re-release,"$55,168","$39,601",71.8%,"$15,567",28.2%
686,American Dream: Detroit,"$55,092","$55,092",100%,-,-
687,DAZN Boxing: Canelo Alvarez vs. Rocky Fielding,"$54,916","$54,916",100%,-,-
688,Digimon Adventure tri. Part 6: Future,"$54,324","$54,324",100%,-,-
689,The Assassin's Code,"$53,940","$11,218",20.8%,"$42,722",79.2%
690,The Legend of Hallowaiian,"$53,738",$451,0.8%,"$53,287",99.2%
691,Grass,"$53,503","$8,084",15.1%,"$45,419",84.9%
692,The Great Silence,"$53,074","$53,074",100%,-,-
693,The Snowman Trek,"$51,743","$51,743",100%,-,-
694,Wanda 2018 Re-release,"$51,713","$51,713",100%,-,-
695,The Royal Wedding: Prince Harry and Meghan Markle,"$50,264","$50,264",100%,-,-
696,Bigger,"$49,997","$46,382",92.8%,"$3,615",7.2%
697,Jumanji/Jumanji: Welcome to the Jungle 2018 NCM Fathom Event,"$49,381","$49,381",100%,-,-
698,Hal,"$49,045","$48,698",99.3%,$347,0.7%
699,The China Hustle,"$48,650","$48,650",100%,-,-
700,350 Days - Legends. Champions. Survivors,"$47,526","$47,526",100%,-,-
701,Mercury,"$45,429",-,-,"$45,429",100%
702,That Summer,"$44,659","$34,556",77.4%,"$10,103",22.6%
703,Submission,"$44,069","$39,985",90.7%,"$4,084",9.3%
704,Liyana,"$44,045","$44,045",100%,-,-
705,Garry Winogrand: All Things are Photographable,"$44,002","$44,002",100%,-,-
706,Hitler's Hollywood,"$43,766","$43,766",100%,-,-
707,First We Take Brooklyn,"$42,812","$42,812",100%,-,-
708,Golden Exits,"$41,888","$41,888",100%,-,-
709,Jonathan,"$41,558",-,-,"$41,558",100%
710,Blue Iguana,"$41,050",-,-,"$41,050",100%
711,On Her Shoulders,"$40,145","$28,288",70.5%,"$11,857",29.5%
712,Humor Me,"$40,099","$40,099",100%,-,-
713,An Elephant Sitting Still,"$39,599","$32,556",82.2%,"$7,043",17.8%
714,I Do Not Care If We Go Down in History as Barbarians,"$39,171","$11,307",28.9%,"$27,864",71.1%
715,Divide and Conquer,"$38,510","$38,510",100%,-,-
716,Araby,"$38,399","$38,399",100%,-,-
717,No Intenso Agora,"$38,223","$24,955",65.3%,"$13,268",34.7%
718,Gray Matter,"$38,034","$38,034",100%,-,-
719,The Heart of Nuba,"$37,788","$37,788",100%,-,-
720,Krystal,"$37,516","$37,516",100%,-,-
721,Small Group,"$37,058","$37,058",100%,-,-
722,24 Frames,"$37,045","$34,482",93.1%,"$2,563",6.9%
723,Mind Game,"$36,613","$36,613",100%,-,-
724,For Those Who Don't Read Me,"$36,506","$36,506",100%,-,-
725,Le Corbeau,"$36,089","$36,089",100%,-,-
726,The House of Tomorrow,"$35,821","$35,821",100%,-,-
727,The Road Movie,"$35,757","$35,757",100%,-,-
728,Good Manners,"$35,714","$31,177",87.3%,"$4,537",12.7%
729,PGS: Intuition Is Your Personal Guidance System,"$35,423","$35,423",100%,-,-
730,Holy Hell,"$34,366","$34,366",100%,-,-
731,Maui,"$33,953","$33,953",100%,-,-
732,"Distant Voices, Still Lives 2018 Re-release","$33,301","$5,234",15.7%,"$28,067",84.3%
733,The Nun,"$32,659","$30,245",92.6%,"$2,414",7.4%
734,Sollers Point,"$32,608","$32,608",100%,-,-
735,Goodland,"$32,140","$32,140",100%,-,-
736,Moynihan,"$31,970","$31,970",100%,-,-
737,Poor Boy,"$31,031","$31,031",100%,-,-
738,Heavy Trip,"$30,351","$10,153",33.5%,"$20,198",66.5%
739,Cold Water,"$30,209","$30,209",100%,-,-
740,Memories of Underdevelopment 2018 Re-release,"$29,647","$29,647",100%,-,-
741,Charm City,"$29,335","$29,335",100%,-,-
742,Restoring Tomorrow,"$28,556","$28,556",100%,-,-
743,Quai des Orfèvres 2018 Re-release,"$28,013","$28,013",100%,-,-
744,The Amendment,"$27,961","$27,961",100%,-,-
745,Senso,"$27,723","$27,723",100%,-,-
746,Milford Graves Full Mantis,"$26,566","$26,566",100%,-,-
747,At First Light,"$26,338","$3,292",12.5%,"$23,046",87.5%
748,Marlina the Murderer in Four Acts,"$26,331","$17,788",67.6%,"$8,543",32.4%
749,The Misandrists,"$26,123","$26,123",100%,-,-
750,Ridge Runners,"$26,019","$26,019",100%,-,-
751,Jet Trash 2018 Re-release,"$26,002","$26,002",100%,-,-
752,Black Mother,"$25,919","$18,762",72.4%,"$7,157",27.6%
753,Vazante,"$25,091","$23,884",95.2%,"$1,207",4.8%
754,An Elephant's Journey,"$24,844","$24,844",100%,-,-
755,Too Late to Die Young,"$24,487","$16,591",67.8%,"$7,896",32.2%
756,Under The Wire,"$23,897","$3,429",14.3%,"$20,468",85.7%
757,Death House,"$23,833","$23,833",100%,-,-
758,An Evening with Beverly Luff Linn,"$23,515","$6,701",28.5%,"$16,814",71.5%
759,Letter from Masanjia,"$23,481","$23,481",100%,-,-
760,The Judge,"$23,127","$22,257",96.2%,$870,3.8%
761,Three Peaks,"$23,069","$16,216",70.3%,"$6,853",29.7%
762,Anything,"$22,537","$19,037",84.5%,"$3,500",15.5%
763,The Atomic Cafe,"$22,293","$22,293",100%,-,-
764,Winning Formula,"$22,189","$22,189",100%,-,-
765,The Female Brain,"$21,786","$21,786",100%,-,-
766,Half the Picture,"$21,589","$21,589",100%,-,-
767,Hagazussa,"$21,487","$13,253",61.7%,"$8,234",38.3%
768,Tyrel,"$21,456","$21,456",100%,-,-
769,Ganja & Hess,"$21,197","$21,197",100%,-,-
770,The Happys,"$21,108","$21,108",100%,-,-
771,Ava,"$20,940","$20,940",100%,-,-
772,Did You Wonder Who Fired the Gun?,"$20,765","$20,765",100%,-,-
773,Freak Show,"$20,657","$19,696",95.3%,$961,4.7%
774,Ice Dragon: Legend of the Blue Daisies,"$20,549","$20,549",100%,-,-
775,The Devil and Father Amorth,"$20,449","$20,449",100%,-,-
776,Izzy Gets the F*ck Across Town,"$20,208","$20,208",100%,-,-
777,Apocalypsis,"$20,052","$20,052",100%,-,-
778,Eight Hours Don't Make a Day,"$19,987","$19,987",100%,-,-
779,"One Sings, the Other Doesn't","$19,919","$19,919",100%,-,-
780,Active Measures,"$19,862","$19,862",100%,-,-
781,Damascus Cover,"$19,532",-,-,"$19,532",100%
782,Who We Are Now,"$19,128","$19,128",100%,-,-
783,November,"$19,084","$19,084",100%,-,-
784,Frank and Ava,"$18,829","$18,829",100%,-,-
785,Crime + Punishment,"$18,644","$18,644",100%,-,-
786,The Pagan King: The Battle of Death,"$18,598",-,-,"$18,598",100%
787,Allegiance to Broadway,"$18,527","$18,527",100%,-,-
788,Desolation,"$18,490","$18,490",100%,-,-
789,306 Hollywood,"$18,399","$18,399",100%,-,-
790,King of Hearts,"$18,130","$17,646",97.3%,$484,2.7%
791,Batman: Mask of the Phantasm 2018 Re-release,"$17,813","$17,813",100%,-,-
792,The Chronicle of Anna Magdalena Bach,"$17,527","$17,527",100%,-,-
793,"A Bread Factory, Part One/A Bread Factory, Part Two","$17,325","$17,325",100%,-,-
794,Revival,"$17,252","$17,252",100%,-,-
795,Haikara-San: Here Comes Miss Modern,"$16,572","$16,572",100%,-,-
796,Detour,"$16,172","$16,172",100%,-,-
797,Out on Stage,"$15,623","$15,623",100%,-,-
798,Bob le Flambeur,"$15,586","$15,586",100%,-,-
799,When You Read This Letter,"$15,552","$15,552",100%,-,-
800,Postcards from London,"$15,548","$5,312",34.2%,"$10,236",65.8%
