Rank,Release Group,Worldwide,Domestic,Foreign,filename,Year,Domestic %,Foreign %
199,Monster Hunt 2,361682618,706153,360976465,movies-2018.csv,2018,0.0019524106629862981,0.9980475893370137
200,Noah,359200044,101200044,258000000,movies-2014.csv,2014,0.28173728174710355,0.7182627182528964
201,Hotel Transylvania,358375603,148313048,210062555,movies-2012.csv,2012,0.4138480598524448,0.5861519401475552
202,Your Name.,357986087,5017246,352968841,movies-2016.csv,2016,0.014015198305737508,0.9859848016942625
203,The Legend of Tarzan,356700357,126643061,230057296,movies-2016.csv,2016,0.3550404660794887,0.6449595339205113
204,Tenet,353700000,56300000,297400000,movies-2020.csv,2020,0.15917444161718972,0.8408255583828103
205,The Great Gatsby,353641895,144840419,208801476,movies-2013.csv,2013,0.40956804340164504,0.5904319565983549
206,Dumbo,353284621,114766307,238518314,movies-2019.csv,2019,0.32485508900768145,0.6751449109923185
207,Murder on the Orient Express,352789811,102826543,249963268,movies-2017.csv,2017,0.29146687289106543,0.7085331271089346
208,X-Men: First Class,352616690,146408305,206208385,movies-2011.csv,2011,0.41520526155469273,0.5847947384453073
209,The Angry Birds Movie,352333929,107509366,244824563,movies-2016.csv,2016,0.3051348653964007,0.6948651346035993
210,Now You See Me,351723989,117723989,234000000,movies-2013.csv,2013,0.3347056006464205,0.6652943993535795
211,Peter Rabbit,351266433,115253424,236013009,movies-2018.csv,2018,0.3281082767165515,0.6718917232834485
212,Mary Poppins Returns,349537494,171958438,177579056,movies-2018.csv,2018,0.4919599211865952,0.5080400788134047
213,The Lorax,348840316,214030500,134809816,movies-2012.csv,2012,0.6135486358176558,0.3864513641823441
214,The Maze Runner,348319861,102427862,245891999,movies-2014.csv,2014,0.2940626517992323,0.7059373482007677
215,The Smurfs 2,347545360,71017784,276527576,movies-2013.csv,2013,0.2043410506185437,0.7956589493814563
216,Trolls,346864462,153707064,193157398,movies-2016.csv,2016,0.44313292608223437,0.5568670739177656
217,xXx: Return of Xander Cage,346118277,44898413,301219864,movies-2017.csv,2017,0.12971985585147242,0.8702801441485276
218,Titanic 2012 3D Release,343550770,57884114,285666656,movies-2012.csv,2012,0.1684878016719334,0.8315121983280667
219,Star Trek Beyond,343471816,158848340,184623476,movies-2016.csv,2016,0.462478528369268,0.537521471630732
220,Alvin and the Chipmunks: Chipwrecked,342695435,133110742,209584693,movies-2011.csv,2011,0.3884228630007867,0.6115771369992133
221,A Quiet Place,340939361,188024361,152915000,movies-2018.csv,2018,0.5514891576276522,0.44851084237234784
222,300: Rise of an Empire,337580051,106580051,231000000,movies-2014.csv,2014,0.31571785916935,0.68428214083065
223,Journey 2: The Mysterious Island,335260290,103860290,231400000,movies-2012.csv,2012,0.30979001420060814,0.6902099857993919
224,The Great Wall,334933831,45540830,289393001,movies-2016.csv,2016,0.13596963276008986,0.8640303672399101
225,Now You See Me 2,334897606,65075540,269822066,movies-2016.csv,2016,0.19431473630778956,0.8056852636922105
226,The Good Dinosaur,332207671,123087120,209120551,movies-2015.csv,2015,0.3705125761530052,0.6294874238469947
227,22 Jump Street,331333876,191719337,139614539,movies-2014.csv,2014,0.5786288420445123,0.4213711579554878
